Date,Entry Time,Signal,Regime,Exit Reason,PnL,Entry,Exit,Ticker
2026-01-22,2026-01-22 10:30:00+05:30,SHORT,BEARISH,Hard SL,-13.8499755859375,2370.0,2383.8499755859375,HINDUNILVR
2026-01-27,2026-01-27 12:30:00+05:30,SHORT,BEARISH,Hard SL,-19.2498779296875,2388.300048828125,2407.5499267578125,HINDUNILVR
2026-01-28,2026-01-28 10:00:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-8.89990234375,2362.60009765625,2371.5,HINDUNILVR
2026-02-11,2026-02-11 10:00:00+05:30,SHORT,BEARISH,Hard SL,-9.800048828125,2448.5,2458.300048828125,HINDUNILVR
2026-02-12,2026-02-12 10:15:00+05:30,SHORT,BEARISH,EOD Square Off,18.5,2425.5,2407.0,HINDUNILVR
2026-02-13,2026-02-13 12:15:00+05:30,SHORT,BEARISH,EOD Square Off,45.699951171875,2346.89990234375,2301.199951171875,HINDUNILVR
2026-02-17,2026-02-17 14:00:00+05:30,SHORT,BEARISH,Hard SL,-11.5499267578125,2304.10009765625,2315.6500244140625,HINDUNILVR
2026-02-18,2026-02-18 10:00:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-3.199951171875,2308.800048828125,2312.0,HINDUNILVR
2026-02-19,2026-02-19 10:45:00+05:30,SHORT,BEARISH,EOD Square Off,42.800048828125,2323.800048828125,2281.0,HINDUNILVR
2025-12-02,2025-12-02 11:15:00+05:30,SHORT,BEARISH,Hard SL,-8.7000732421875,3123.89990234375,3132.5999755859375,TCS
2025-12-04,2025-12-04 09:45:00+05:30,LONG,BULLISH,Trailing SL (Below 21EMA),-10.89990234375,3236.0,3225.10009765625,TCS
2025-12-05,2025-12-05 10:30:00+05:30,LONG,BULLISH,Hard SL,-33.5001220703125,3268.10009765625,3234.5999755859375,TCS
2025-12-08,2025-12-08 13:15:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-5.39990234375,3232.10009765625,3237.5,TCS
2025-12-09,2025-12-09 09:45:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-17.0,3192.0,3209.0,TCS
2025-12-11,2025-12-11 10:45:00+05:30,SHORT,BEARISH,Trailing SL (Above 21EMA),-19.300048828125,3162.800048828125,3182.10009765625,TCS
2025-12-15,2025-12-15 10:00:00+05:30,LONG,BULLISH,Trailing SL (Below 21EMA),0.300048828125,3216.800048828125,3217.10009765625,TCS
